OFFENSE,VIOLENT,NONVIOLENT
 'MENACING' 'MENACING BY STALKING' 'MISUSE OF CREDIT CARD' 'MURDER',1,0
 'NEGLIGENT ASSAULT' 'NEGLIGENT HOMICIDE' 'OBSTRUCTING OFFICIAL BUSINESS',1,0
 'PARENTAL EDUCATION NEGLECT' 'PASSING BAD CHECKS',0,1
 'PATIENT ABUSE; NEGLECT' 'PATIENT ABUSE; NEGLECT - ABUSE',1,0
 'PERSONATING AN OFFICER' 'POSS/SELL UNAUTHOR CABLE TELEV SERV-POSSESS',0,1
 'POSSESSING CRIMINAL TOOLS' 'PUBLIC INDECENCY',0,1
 'PUBLIC INDECENCY - APPEAR TO BE SEX ACT' 'PUBLIC INDECENCY - EXPOSURE',0,1
 'RECEIVING STOLEN PROPERTY' 'RECKLESS HOMICIDE' 'RESISTING ARREST',0,1
" 'RETALIATION' 'ROBBERY' 'ROBBERY - DANGEROUS WEAPON, ORDNANCE'",1,0
 'ROBBERY - USE/THREATEN IMMED USE OF FORCE',1,0
 'ROBBERY-INFLICT/ATTEMPT/THREAT SER PHYS HARM' 'RUNAWAY' 'SAFECRACKING',1,0
" 'SEX BAT - VIC MINOR, OFF TMP/OCC DISCIP CONTR' 'SEXUAL BATTERY'",1,0
 'SEXUAL BATTERY - MISTAKE FOR SPOUSE',1,0
 'SEXUAL BATTERY - PARENT OR GUARDIAN',1,0
 'SEXUAL BATTERY - SCHOOL PERSON OF AUTHORITY',1,0
 'SEXUAL BATTERY - VICTIM COERCED' 'SEXUAL IMPOSITION',1,0
 'SEXUAL IMPOSITION - OFFENSIVE CONTACT',1,0
" 'SEXUAL IMPOSITION - VICTIM 13, 14, 15'",1,0
 'SEXUAL IMPOSITION - VICTIM IMPAIRED' 'TAKING THE IDENTITY OF ANOTHER',1,0
 'TAMPERING WITH COIN MACHINES' 'TAMPERING WITH RECORDS',0,1
 'TELECOMMUNICATIONS FRAUD' 'TELEPHONE HARASS-ABUSE/THREATEN/ANNOY',0,1
 'TELEPHONE HARASS-FAIL TO DESIST' 'TELEPHONE HARASSMENT',0,1
 'TELEPHONE HARASSMENT - ANONYMOUS' 'THEFT' 'THEFT - BY INTIMIDATION',0,1
 'THEFT BY DECEPTION        M1F4' 'THEFT BY THREAT           M1F4',0,1
 'THEFT IN OFFICE' 'THEFT- BEYOND SCOPE OF CNSNT M1F4',0,1
 'THEFT- WITHOUT CONSENT     M1F4' 'UNATHORIZED USE OF CABLE DEVICE',0,1
 'UNAUTHORIZED USE OF MOTOR VEHICLE',0,1
 'UNAUTHORIZED USE OF MOTOR VEHICLE-JOY RIDING',0,1
 'UNAUTHORIZED USE OF PROPERTY' 'UNAUTHORIZED USE OF PROPERTY-GENERAL',0,1
 'UNLAWFUL RESTRAINT' 'UNLAWFUL SEXUAL CONDUCT WITH A MINOR',1,0
 'UNLAWFUL USE TELECOM DEVICE' 'VANDALISM' 'VANDALISM - GOVERNMENT ENTITY',0,1
 'VANDALISM - PROPERTY USED FOR BUSINESS > $500' 'VECHICULAR VANDALISM',0,1
 'VEHICULAR VANDALISM' 'VIOL PROT ORDER/CONSENT AGREE-2903-203/2903-204',0,1
 'VIOL PROT ORDER/CONSENT AGREE-2919-26/3113-31',0,1
 'VIOL PROT ORDER/CONSENT AGREE-OTHER STATE',0,1
 'VIOLATE PROTECTION ORDER/CONSENT AGREEMENT' 'VOLUNTARY MANSLAUGHTER',1,0
 'VOYEURISM' 'WIRE FRAUD' ,0,1
nan,0,1
